--- Sampling Parameter ---,,,,,,,,,,,,,,,,
Sampling Time,0.0000002,0.0000002,,,,,,,,,,,,,,
Sample Number,41666,41666,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
--- Sampling Data ---,,,,,,,,,,,,,,,,
Time [sec],TDS_AC [V],Friction [gf],,,,,,,,0.02,41666,,,0.02,41666,
0.0000166,0,1.227205,,,,,,,,,,,,,,
0.0000168,0,1.227205,,,,,,,,,,,,,,
0.000017,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000172,0,1.2597,,,,,,,,,,,,,,
0.0000174,0,1.2597,,,,,,,,,,,,,,
0.0000176,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000178,-0.002441,1.243452,,,,,,,,,,,,,,
0.000018,0,1.243452,,,,,,,,,,,,,,
0.0000182,0,1.243452,,,,,,,,,,,,,,
0.0000184,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000186,0,1.227205,,,,,,,,,,,,,,
0.0000188,-0.002441,1.227205,,,,,,,,,,,,,,
0.000019,0,1.243452,,,,,,,,,,,,,,
0.0000192,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000194,0,1.2597,,,,,,,,,,,,,,
0.0000196,0,1.243452,,,,,,,,,,,,,,
0.0000198,0,1.243452,,,,,,,,,,,,,,
0.00002,0,1.227205,,,,,,,,,,,,,,
0.0000202,0,1.227205,,,,,,,,,,,,,,
0.0000204,0,1.243452,,,,,,,,,,,,,,
0.0000206,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000208,-0.002441,1.243452,,,,,,,,,,,,,,
0.000021,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000212,0,1.243452,,,,,,,,,,,,,,
0.0000214,0,1.243452,,,,,,,,,,,,,,
0.0000216,0,1.2597,,,,,,,,,,,,,,
0.0000218,-0.002441,1.243452,,,,,,,,,,,,,,
0.000022,0,1.2597,,,,,,,,,,,,,,
0.0000222,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000224,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000226,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000228,0,1.243452,,,,,,,,,,,,,,
0.000023,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000232,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000234,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000236,0,1.243452,,,,,,,,,,,,,,
0.0000238,-0.002441,1.243452,,,,,,,,,,,,,,
0.000024,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000242,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000244,0,1.243452,,,,,,,,,,,,,,
0.0000246,0,1.243452,,,,,,,,,,,,,,
0.0000248,0,1.243452,,,,,,,,,,,,,,
0.000025,0,1.243452,,,,,,,,,,,,,,
0.0000252,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000254,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000256,0,1.243452,,,,,,,,,,,,,,
0.0000258,-0.002441,1.2597,,,,,,,,,,,,,,
0.000026,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000262,0,1.243452,,,,,,,,,,,,,,
0.0000264,0,1.243452,,,,,,,,,,,,,,
0.0000266,0,1.243452,,,,,,,,,,,,,,
0.0000268,0,1.243452,,,,,,,,,,,,,,
0.000027,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000272,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000274,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000276,0,1.2597,,,,,,,,,,,,,,
0.0000278,-0.002441,1.243452,,,,,,,,,,,,,,
0.000028,0,1.243452,,,,,,,,,,,,,,
0.0000282,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000284,0,1.2597,,,,,,,,,,,,,,
0.0000286,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000288,-0.002441,1.243452,,,,,,,,,,,,,,
0.000029,0,1.2597,,,,,,,,,,,,,,
0.0000292,0,1.243452,,,,,,,,,,,,,,
0.0000294,0,1.243452,,,,,,,,,,,,,,
0.0000296,-0.004883,1.243452,,,,,,,,,,,,,,
0.0000298,0,1.243452,,,,,,,,,,,,,,
0.00003,0,1.2597,,,,,,,,,,,,,,
0.0000302,0,1.243452,,,,,,,,,,,,,,
0.0000304,0,1.243452,,,,,,,,,,,,,,
0.0000306,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000308,0,1.243452,,,,,,,,,,,,,,
0.000031,0,1.243452,,,,,,,,,,,,,,
0.0000312,0,1.243452,,,,,,,,,,,,,,
0.0000314,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000316,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000318,-0.002441,1.243452,,,,,,,,,,,,,,
0.000032,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000322,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000324,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000326,0,1.2597,,,,,,,,,,,,,,
0.0000328,-0.002441,1.2597,,,,,,,,,,,,,,
0.000033,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000332,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000334,0,1.227205,,,,,,,,,,,,,,
0.0000336,0,1.227205,,,,,,,,,,,,,,
0.0000338,-0.002441,1.243452,,,,,,,,,,,,,,
0.000034,0.002441,1.275947,,,,,,,,,,,,,,
0.0000342,0,1.2597,,,,,,,,,,,,,,
0.0000344,0,1.275947,,,,,,,,,,,,,,
0.0000346,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000348,-0.002441,1.243452,,,,,,,,,,,,,,
0.000035,0,1.227205,,,,,,,,,,,,,,
0.0000352,0,1.227205,,,,,,,,,,,,,,
0.0000354,0,1.227205,,,,,,,,,,,,,,
0.0000356,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000358,0,1.243452,,,,,,,,,,,,,,
0.000036,0,1.2597,,,,,,,,,,,,,,
0.0000362,0,1.2597,,,,,,,,,,,,,,
0.0000364,0,1.2597,,,,,,,,,,,,,,
0.0000366,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000368,-0.002441,1.227205,,,,,,,,,,,,,,
0.000037,0,1.227205,,,,,,,,,,,,,,
0.0000372,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000374,0,1.243452,,,,,,,,,,,,,,
0.0000376,0,1.243452,,,,,,,,,,,,,,
0.0000378,-0.002441,1.243452,,,,,,,,,,,,,,
0.000038,0,1.243452,,,,,,,,,,,,,,
0.0000382,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000384,0,1.243452,,,,,,,,,,,,,,
0.0000386,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000388,0,1.243452,,,,,,,,,,,,,,
0.000039,0,1.227205,,,,,,,,,,,,,,
0.0000392,0,1.227205,,,,,,,,,,,,,,
0.0000394,0,1.243452,,,,,,,,,,,,,,
0.0000396,0,1.2597,,,,,,,,,,,,,,
0.0000398,0,1.243452,,,,,,,,,,,,,,
0.00004,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000402,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000404,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000406,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000408,0,1.227205,,,,,,,,,,,,,,
0.000041,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000412,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000414,0,1.243452,,,,,,,,,,,,,,
0.0000416,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000418,-0.002441,1.243452,,,,,,,,,,,,,,
0.000042,0,1.243452,,,,,,,,,,,,,,
0.0000422,0,1.243452,,,,,,,,,,,,,,
0.0000424,0,1.243452,,,,,,,,,,,,,,
0.0000426,-0.004883,1.227205,,,,,,,,,,,,,,
0.0000428,0.002441,1.243452,,,,,,,,,,,,,,
0.000043,0,1.243452,,,,,,,,,,,,,,
0.0000432,0,1.243452,,,,,,,,,,,,,,
0.0000434,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000436,0,1.243452,,,,,,,,,,,,,,
0.0000438,0,1.243452,,,,,,,,,,,,,,
0.000044,0,1.2597,,,,,,,,,,,,,,
0.0000442,0,1.227205,,,,,,,,,,,,,,
0.0000444,0.002441,1.243452,,,,,,,,,,,,,,
0.0000446,0.002441,1.243452,,,,,,,,,,,,,,
0.0000448,-0.002441,1.243452,,,,,,,,,,,,,,
