Step,Voltage_Mean,Voltage_Std,Voltage_StdErr,Resistance_Mean,Resistance_Std,Resistance_StdErr,Metric
127,-6.117489499579988e-05,0.1504078979681542,0.0007368599439593,0.0,0.0,0.0,Highest Voltage Mean
93,-8.466811472458902e-05,0.0660246409877957,0.0003234598310024,0.0,0.0,0.0,Highest Voltage Mean
113,-9.568760350413998e-05,0.279396088825311,0.0013687830834381,0.0,0.0,0.0,Highest Voltage Mean
128,-9.610037201488062e-05,0.1522719144686973,0.0007459919051973,0.0,0.0,0.0,Highest Voltage Mean
64,-9.656678267130686e-05,0.0646318286114397,0.0003166363352721,0.0,0.0,0.0,Highest Voltage Mean
100,-0.0007270611304452,0.5656131327047058,0.0027709825540925,0.0,0.0,0.0,Highest Voltage Std Dev
101,-0.0006337184207368,0.5610974636493855,0.0027488599415702,0.0,0.0,0.0,Highest Voltage Std Dev
99,-0.0006836417856714,0.419074248864802,0.0020530772100726,0.0,0.0,0.0,Highest Voltage Std Dev
186,-0.0003988653306132,0.351268914634621,0.0017208936249288,0.0,0.0,0.0,Highest Voltage Std Dev
187,-0.0003303052682107,0.3210543907622638,0.0015728703318165,0.0,0.0,0.0,Highest Voltage Std Dev
100,-0.0007270611304452,0.5656131327047058,0.0027709825540925,0.0,0.0,0.0,Highest Voltage Std Error
101,-0.0006337184207368,0.5610974636493855,0.0027488599415702,0.0,0.0,0.0,Highest Voltage Std Error
99,-0.0006836417856714,0.419074248864802,0.0020530772100726,0.0,0.0,0.0,Highest Voltage Std Error
186,-0.0003988653306132,0.351268914634621,0.0017208936249288,0.0,0.0,0.0,Highest Voltage Std Error
187,-0.0003303052682107,0.3210543907622638,0.0015728703318165,0.0,0.0,0.0,Highest Voltage Std Error
